,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
58,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,8,15
59,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,9,33
60,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,10,75
61,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,11,108
62,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,12,-49
63,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,13,22
64,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,14,32
65,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,15,82
66,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,16,-36
67,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,17,-50
68,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,18,68
69,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,19,-116
70,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,20,-39
71,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,21,106
72,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,22,61
73,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,23,-47
74,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,24,-34
75,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,25,-13
76,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,26,74
77,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,27,-12
78,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,28,106
79,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,29,18
80,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,30,8
81,2,0,1000,100,5,5,47,46,6,2568,7,2575,2236,"(100, 5, 5)",3,31,100
